Date,type_of_car,Base_Loss_USD,flood_risk_flag,Prob_Cover_Deploy,Depreciation_Timeline_months,Expected_Loss_USD
03/06/2015,Crossover,27882,0,0.7,12,25651.9
04/06/2015,Convertible,52166,0,0.47,84,37037.94
05/06/2015,Crossover,34262,0,0.36,74,25285.65
06/06/2015,Crossover,39181,1,0.47,45,34142.34
07/06/2015,Truck,59013,0,0.59,81,44550.55
08/06/2015,Sedan,30026,1,0.33,37,19313.65
09/06/2015,Hatchback,20374,1,0.16,74,17045.0
10/06/2015,Sedan,25695,0,0.21,62,16564.08
11/06/2015,Truck,49163,0,0.59,41,32931.59
12/06/2015,Truck,60098,0,0.45,77,52328.89
13/06/2015,Sedan,32222,0,0.63,15,23721.22
14/06/2015,Convertible,52625,1,0.36,45,37171.73
15/06/2015,Convertible,61394,0,0.6,19,44794.24
16/06/2015,Convertible,67872,0,0.65,83,53652.02
17/06/2015,Hatchback,24744,1,0.48,19,16918.45
18/06/2015,Wagon,35492,1,0.82,79,30275.11
19/06/2015,Coupe,61534,0,0.67,18,53894.31
20/06/2015,Sedan,24170,1,0.07,30,16146.91
21/06/2015,SUV,43614,1,0.52,22,30544.57
22/06/2015,SUV,51123,0,0.3,16,30094.42
23/06/2015,Pickup,49089,0,0.73,35,35258.97
24/06/2015,Wagon,32846,1,0.58,25,27327.01
25/06/2015,SUV,43944,0,0.3,33,30291.78
26/06/2015,Van,55871,0,0.18,48,36280.82
27/06/2015,Unknown,44082,0,0.54,49,33420.25
28/06/2015,Hatchback,30336,0,0.19,38,23600.39
29/06/2015,Coupe,68531,0,0.6,64,48068.53
30/06/2015,Sedan,24225,0,0.6,57,15619.94
01/07/2015,Coupe,59311,0,0.66,40,50438.2
02/07/2015,Wagon,54939,0,0.58,50,35393.19
03/07/2015,Coupe,69415,0,0.88,33,60745.4
04/07/2015,Sedan,34593,0,0.39,73,19662.98
05/07/2015,SUV,47249,1,0.12,84,38869.71
06/07/2015,Sedan,21432,0,0.4,36,18527.32
07/07/2015,Truck,42589,0,0.68,23,34927.1
08/07/2015,Sedan,23741,1,0.54,58,18533.39
09/07/2015,Wagon,27671,0,0.68,81,21148.43
10/07/2015,SUV,47352,0,0.64,37,33865.47
11/07/2015,Crossover,31097,1,0.44,18,22940.83
12/07/2015,Hatchback,22365,0,0.23,70,16122.47
13/07/2015,N/A,37713,1,0.82,29,32174.47
14/07/2015,Convertible,65448,0,0.41,71,43510.6
15/07/2015,Truck,48209,0,0.28,50,32084.87
16/07/2015,???,32919,1,0.34,44,28004.7
17/07/2015,Crossover,39057,0,0.13,53,22621.16
18/07/2015,Convertible,54750,0,0.87,50,43289.06
19/07/2015,Sedan,29911,0,0.47,21,23300.51
20/07/2015,Convertible,66211,0,0.25,14,40807.17
21/07/2015,MISC_VEHICLE,27024,0,0.29,36,17452.18
22/07/2015,Hatchback,34106,0,0.38,79,23124.64
23/07/2015,Crossover,31005,1,0.23,81,21279.3
24/07/2015,MISC_VEHICLE,35012,1,0.65,82,29553.15
25/07/2015,Wagon,50515,1,0.28,68,39858.66
26/07/2015,Sedan,31230,1,0.24,16,24165.18
27/07/2015,Convertible,62005,0,0.46,72,40813.05
28/07/2015,Truck,57005,1,0.47,24,52982.44
29/07/2015,Pickup,75279,0,0.06,67,44766.83
30/07/2015,Pickup,53631,1,0.64,20,53026.28
31/07/2015,Pickup,55039,0,0.42,83,35634.06
01/08/2015,Crossover,36900,0,0.3,39,25211.13
02/08/2015,Sedan,29154,0,0.32,69,19541.48
03/08/2015,Wagon,35663,0,0.31,17,20145.37
04/08/2015,Wagon,29038,1,0.6,52,27765.08
05/08/2015,Pickup,65920,0,0.46,49,51967.95
06/08/2015,N/A,35760,1,0.42,42,25755.27
07/08/2015,Crossover,30046,0,0.5,42,23126.24
08/08/2015,SUV,44035,0,0.25,24,27414.92
09/08/2015,Sedan,23155,0,0.26,75,17972.3
10/08/2015,Truck,46065,0,0.71,74,36558.91
11/08/2015,Hatchback,23209,1,0.32,79,14559.03
12/08/2015,Sedan,30585,0,0.58,33,20228.15
13/08/2015,SUV,38951,1,0.55,47,31742.81
14/08/2015,Van,31131,0,0.26,44,22715.54
15/08/2015,Truck,56974,0,0.57,15,37883.31
16/08/2015,Pickup,59097,0,0.58,43,42677.22
17/08/2015,Van,33559,0,0.7,67,21772.46
18/08/2015,Hatchback,23251,0,0.42,17,19846.94
19/08/2015,Hatchback,24147,0,0.77,26,19657.76
20/08/2015,Truck,68088,0,0.38,26,47141.47
21/08/2015,Wagon,49621,0,0.62,64,41288.38
22/08/2015,SUV,50513,0,0.75,55,31669.4
23/08/2015,Crossover,43258,1,0.3,82,31022.46
24/08/2015,Van,32176,0,0.35,71,22673.94
25/08/2015,Coupe,75083,1,0.18,83,52369.63
26/08/2015,SUV,34861,1,0.66,22,33831.37
27/08/2015,Sedan,24603,1,0.0,62,17786.67
28/08/2015,Sedan,26896,1,0.13,65,23089.32
29/08/2015,Van,32251,0,0.18,13,18955.84
30/08/2015,Pickup,87871,0,0.61,37,59058.16
31/08/2015,SUV,41906,0,0.59,26,31650.02
01/09/2015,Convertible,68618,0,0.67,78,49280.4
02/09/2015,Pickup,80046,0,0.39,52,62945.01
03/09/2015,Wagon,31080,0,0.75,73,24714.62
04/09/2015,Convertible,45620,1,0.35,69,37254.13
05/09/2015,Truck,47344,0,0.03,23,27743.59
06/09/2015,Truck,65980,0,0.6,64,58323.36
07/09/2015,Truck,55367,0,0.41,67,39410.78
08/09/2015,Truck,57522,0,0.15,65,37001.39
09/09/2015,Sedan,31633,0,0.83,42,27137.17
10/09/2015,Wagon,39497,0,0.76,31,28827.52
11/09/2015,SUV,35518,0,0.48,77,30784.52
12/09/2015,Van,57509,0,0.83,69,41698.54
13/09/2015,Truck,61222,0,0.77,37,53122.13
14/09/2015,Convertible,57165,0,0.75,48,44651.24
15/09/2015,Pickup,76483,0,0.28,25,57202.99
16/09/2015,Pickup,75507,0,0.19,39,52792.96
17/09/2015,Hatchback,28466,0,0.6,47,20436.33
18/09/2015,Crossover,40117,0,0.41,21,27191.94
19/09/2015,Pickup,80956,0,0.43,12,61713.1
20/09/2015,Coupe,46787,0,0.42,58,30268.76
21/09/2015,Hatchback,21024,0,0.54,17,15629.96
22/09/2015,Van,53082,1,0.05,48,35170.82
23/09/2015,Sedan,27500,0,0.3,70,20308.54
24/09/2015,Sedan,21248,0,0.24,54,14015.05
25/09/2015,Pickup,65537,1,0.61,67,54141.96
26/09/2015,SUV,42993,0,0.32,56,23986.72
27/09/2015,SUV,44165,0,0.15,12,28918.36
28/09/2015,Coupe,77961,1,0.15,76,60406.77
29/09/2015,Crossover,45502,1,0.7,83,39307.03
30/09/2015,Van,34178,0,0.5,64,21272.17
01/10/2015,Pickup,83775,0,0.19,75,57392.42
02/10/2015,Pickup,48040,1,0.68,42,35942.1
03/10/2015,Van,57825,0,0.24,30,44965.61
04/10/2015,SUV,52223,1,0.36,12,37562.33
05/10/2015,Coupe,65544,0,0.62,82,49428.55
06/10/2015,Truck,48023,0,0.56,46,30698.6
07/10/2015,Crossover,39783,0,0.52,77,30147.48
08/10/2015,Truck,49730,0,0.49,37,34917.18
09/10/2015,Hatchback,34063,0,0.35,26,20294.51
10/10/2015,Convertible,66564,0,0.63,54,43217.31
11/10/2015,Convertible,56271,1,0.07,26,33572.95
12/10/2015,Truck,57338,0,0.29,30,33254.77
13/10/2015,Van,36583,0,0.66,40,24522.48
14/10/2015,Truck,61271,0,0.7,60,44935.03
15/10/2015,Crossover,29185,0,0.29,24,19319.88
16/10/2015,Wagon,43541,0,0.15,47,27290.47
17/10/2015,Coupe,75957,1,0.39,56,57073.93
18/10/2015,Convertible,70137,0,0.62,37,42833.77
19/10/2015,Crossover,37130,0,0.7,35,30323.11
20/10/2015,Crossover,30917,0,0.52,71,21494.33
21/10/2015,Pickup,41272,1,0.23,66,32067.43
22/10/2015,Sedan,22402,1,0.53,32,18494.51
23/10/2015,Hatchback,31803,0,0.1,22,22084.71
24/10/2015,Pickup,47739,0,0.32,18,30611.47
25/10/2015,Truck,56012,0,0.21,53,38721.57
26/10/2015,Van,43863,0,0.55,84,28371.39
27/10/2015,Coupe,43441,0,0.46,71,31384.63
28/10/2015,Hatchback,22453,0,0.52,83,16253.73
29/10/2015,Coupe,73604,0,0.12,13,53045.56
30/10/2015,SUV,49060,0,0.53,41,38452.78
31/10/2015,Coupe,71479,1,0.26,42,55508.62
01/11/2015,Convertible,46278,0,0.26,66,31115.58
02/11/2015,Error,34997,1,0.47,41,22042.37
03/11/2015,Truck,60939,0,0.67,76,48343.83
04/11/2015,Hatchback,32945,0,0.08,43,20970.16
05/11/2015,Coupe,49969,0,0.16,34,33596.9
06/11/2015,SUV,38669,0,0.77,84,30516.9
07/11/2015,Truck,52041,0,0.69,66,36819.0
08/11/2015,Coupe,51970,1,0.69,23,48339.2
09/11/2015,Crossover,27558,0,0.59,17,21929.04
10/11/2015,Convertible,73998,1,0.31,46,54469.78
11/11/2015,SUV,39735,0,0.82,21,31193.42
12/11/2015,Pickup,70731,1,0.3,65,62188.31
13/11/2015,Van,41063,1,0.55,24,39227.67
14/11/2015,Wagon,31725,0,0.06,79,20385.41
15/11/2015,Van,50505,0,0.78,43,33363.66
16/11/2015,SUV,41358,0,0.33,16,25689.47
17/11/2015,Crossover,35045,0,0.72,42,31254.21
18/11/2015,Pickup,77973,0,0.27,84,58088.39
19/11/2015,Truck,51137,0,0.04,15,32215.75
20/11/2015,Wagon,51658,0,0.17,63,35672.94
21/11/2015,Coupe,55010,1,0.36,18,49583.57
22/11/2015,Coupe,73831,0,0.32,16,53736.19
23/11/2015,SUV,51568,0,0.14,32,34661.02
24/11/2015,Crossover,31162,0,0.28,64,21821.25
25/11/2015,Van,36307,0,0.45,74,29752.36
26/11/2015,Convertible,75472,0,0.32,63,41001.16
27/11/2015,SUV,38009,1,0.65,40,36904.92
28/11/2015,Hatchback,25630,0,0.27,20,17596.69
29/11/2015,SUV,37092,0,0.41,69,24258.67
30/11/2015,Wagon,55254,1,0.47,19,46970.48
01/12/2015,Wagon,49509,0,0.19,56,33588.98
02/12/2015,Sedan,25537,0,0.15,54,18587.66
03/12/2015,Truck,45882,0,0.55,69,29448.4
04/12/2015,Van,38816,1,0.78,39,37057.39
05/12/2015,Crossover,39834,0,0.52,75,26837.87
06/12/2015,Sedan,22601,1,0.35,84,16564.77
07/12/2015,SUV,45401,0,0.61,52,39443.23
08/12/2015,Convertible,66751,1,0.43,47,51382.16
09/12/2015,Wagon,47136,0,0.42,27,36422.09
10/12/2015,SUV,42775,0,0.11,29,27204.89
11/12/2015,Pickup,44567,0,0.35,33,32766.0
12/12/2015,Van,43707,0,0.45,32,32734.26
13/12/2015,Convertible,62228,1,0.63,29,57796.31
14/12/2015,Hatchback,35820,1,0.58,18,32062.16
15/12/2015,Coupe,63981,0,0.38,24,41176.31
16/12/2015,Hatchback,33335,0,0.38,55,26502.27
17/12/2015,Hatchback,19936,0,0.59,30,14989.87
18/12/2015,Convertible,52551,0,0.74,19,37189.14
19/12/2015,Wagon,51573,0,0.58,15,36999.74
20/12/2015,Crossover,42326,0,0.64,57,34764.77
21/12/2015,SUV,36997,1,0.35,69,24790.41
22/12/2015,Sedan,22440,0,0.51,31,16209.28
23/12/2015,Truck,52174,0,0.51,69,34898.53
24/12/2015,Van,39689,1,0.32,37,25080.39
25/12/2015,Hatchback,31919,0,0.19,49,20610.84
26/12/2015,Pickup,77694,0,0.5,15,53046.3
27/12/2015,Truck,62477,0,0.37,15,35136.82
28/12/2015,Wagon,26863,0,0.42,71,23536.4
29/12/2015,Sedan,24702,0,0.06,41,16191.01
30/12/2015,Hatchback,25193,1,0.35,56,23817.45
31/12/2015,Convertible,50314,0,0.25,58,38768.5
01/01/2016,Coupe,51425,0,0.47,31,41687.43
02/01/2016,Coupe,70323,1,0.27,20,63816.91
03/01/2016,Hatchback,24943,0,0.16,81,14581.98
04/01/2016,Truck,64977,1,0.13,80,43886.23
05/01/2016,Hatchback,28402,1,0.28,16,21928.45
06/01/2016,Crossover,45618,1,0.62,35,33667.61
07/01/2016,Coupe,54778,0,0.04,68,35986.04
08/01/2016,Wagon,41117,0,0.36,41,24859.77
09/01/2016,Convertible,47914,0,0.67,21,33977.61
10/01/2016,Coupe,74220,0,0.55,55,50989.07
11/01/2016,Van,54652,0,0.45,68,40196.17
12/01/2016,SUV,41399,1,0.25,26,25656.79
13/01/2016,Wagon,44468,1,0.49,82,32131.84
14/01/2016,Crossover,32629,1,0.6,48,28178.42
15/01/2016,SUV,48166,0,0.23,60,32347.93
16/01/2016,Pickup,71520,1,0.15,44,54829.53
17/01/2016,Van,54702,0,0.84,44,47966.68
18/01/2016,SUV,40888,0,0.17,60,28046.68
19/01/2016,Coupe,52186,1,0.29,16,46820.63
20/01/2016,Pickup,42858,0,0.67,62,29549.56
21/01/2016,Coupe,46184,1,0.13,70,31750.96
22/01/2016,Truck,47099,0,0.25,32,33386.2
23/01/2016,Van,44357,0,0.37,25,25172.86
24/01/2016,Pickup,45802,1,0.75,74,38758.19
25/01/2016,Wagon,40194,0,0.21,53,25062.75
26/01/2016,Coupe,66186,1,0.33,30,47446.84
27/01/2016,Wagon,35587,0,0.38,52,25435.66
28/01/2016,Hatchback,23625,1,0.29,59,19561.82
29/01/2016,SUV,53391,0,0.52,13,34593.51
30/01/2016,Truck,54167,1,0.35,51,38855.07
31/01/2016,Sedan,26253,0,0.78,59,21352.44
01/02/2016,Van,38834,0,0.22,43,23875.55
02/02/2016,Convertible,53634,1,0.5,32,41640.75
03/02/2016,SUV,37602,1,0.93,70,34015.53
04/02/2016,Hatchback,26723,0,0.07,31,17118.07
05/02/2016,Hatchback,17482,0,0.81,61,14188.06
06/02/2016,Pickup,68805,1,0.42,84,61871.94
07/02/2016,SUV,47788,1,0.27,32,40949.96
08/02/2016,Crossover,39359,0,0.28,69,25553.5
09/02/2016,Convertible,55147,0,0.67,22,39121.23
10/02/2016,Truck,54953,0,0.45,77,38721.23
11/02/2016,Wagon,29908,0,0.32,31,15673.81
12/02/2016,Wagon,31559,0,0.59,15,22199.13
13/02/2016,Coupe,78518,0,0.17,57,51732.92
14/02/2016,Van,46379,0,0.73,17,35803.47
15/02/2016,N/A,71856,0,0.52,49,53775.11
16/02/2016,Hatchback,30520,0,0.44,36,16939.5
17/02/2016,Crossover,41234,0,0.56,62,39594.78
18/02/2016,Truck,48908,1,0.64,84,44497.6
19/02/2016,Convertible,72952,0,0.78,25,62051.3
20/02/2016,Hatchback,35296,0,0.24,20,22539.04
21/02/2016,Wagon,42396,1,0.1,70,34715.71
22/02/2016,Pickup,47158,0,0.7,13,39552.92
23/02/2016,Coupe,41408,0,0.38,59,27650.15
24/02/2016,Truck,46339,1,0.63,32,38177.5
25/02/2016,Van,41590,0,0.06,84,32650.76
26/02/2016,Van,57716,1,0.83,76,44624.48
27/02/2016,Convertible,47435,0,0.26,58,26592.87
28/02/2016,Truck,61159,0,0.66,31,50919.95
29/02/2016,Truck,65599,0,0.11,33,43369.8
01/03/2016,Truck,58600,0,0.29,66,44256.3
02/03/2016,Wagon,39560,0,0.61,28,23892.53
03/03/2016,Coupe,45521,0,0.41,76,30701.81
04/03/2016,Sedan,29917,0,0.37,67,19179.84
05/03/2016,Coupe,58057,0,0.81,31,47276.11
06/03/2016,Crossover,44098,0,0.3,65,27867.18
07/03/2016,Pickup,45794,0,0.44,32,35953.0
08/03/2016,Convertible,60674,1,0.39,22,41391.65
09/03/2016,Sedan,33176,0,0.39,83,20486.03
10/03/2016,???,36779,0,0.8,80,22945.31
11/03/2016,Convertible,65591,0,0.27,58,41581.89
12/03/2016,SUV,38388,0,0.63,47,30463.17
13/03/2016,Truck,45123,0,0.69,26,32556.3
14/03/2016,SUV,39904,0,0.69,62,29352.54
15/03/2016,Crossover,38219,0,0.64,50,27803.8
16/03/2016,Van,57282,0,0.84,49,51501.51
17/03/2016,Wagon,50704,0,0.38,46,30472.34
18/03/2016,Convertible,70002,0,0.81,73,52486.64
19/03/2016,Pickup,48037,1,0.09,32,37319.81
20/03/2016,SUV,42620,0,0.24,64,33104.84
21/03/2016,SUV,37920,1,0.56,52,35494.97
22/03/2016,Wagon,43301,0,0.5,68,31226.61
23/03/2016,Sedan,31927,0,0.31,48,18694.97
24/03/2016,Hatchback,29412,0,0.34,29,23623.46
25/03/2016,Sedan,33960,0,0.67,45,27434.71
26/03/2016,Wagon,45526,0,0.61,61,36537.29
27/03/2016,Wagon,47293,0,0.88,15,33932.39
28/03/2016,Coupe,76980,0,0.08,61,54993.88
29/03/2016,Hatchback,18948,0,0.74,46,16277.57
30/03/2016,Van,28542,1,0.84,70,28220.17
31/03/2016,Van,30079,0,0.22,79,22876.96
01/04/2016,Pickup,40846,0,0.22,64,28520.84
02/04/2016,Truck,57866,1,0.58,57,51794.1
03/04/2016,Hatchback,27180,1,0.39,12,20987.68
04/04/2016,Wagon,42388,0,0.48,22,33776.12
05/04/2016,Sedan,25196,1,0.68,35,22175.43
06/04/2016,Hatchback,35468,0,0.64,47,29495.16
07/04/2016,Hatchback,18463,0,0.04,22,11548.85
08/04/2016,Hatchback,18469,0,0.72,23,18066.19
09/04/2016,Truck,47780,1,0.49,81,42706.0
10/04/2016,Crossover,31918,0,0.31,34,19665.71
11/04/2016,Pickup,81464,0,0.79,62,67252.8
12/04/2016,Van,39851,1,0.1,84,25249.49
13/04/2016,Sedan,27608,1,0.7,30,18301.65
14/04/2016,Truck,46384,0,0.86,72,40108.26
15/04/2016,SUV,47981,1,0.24,78,34805.15
16/04/2016,Crossover,39319,0,0.7,52,27312.1
17/04/2016,Wagon,53133,1,0.0,30,35878.54
18/04/2016,Crossover,36291,0,0.07,78,23690.59
19/04/2016,Pickup,48511,0,0.07,19,31512.23
20/04/2016,Pickup,53770,1,0.66,74,37157.0
21/04/2016,Pickup,61233,0,0.26,41,45715.14
22/04/2016,Truck,52485,1,0.67,45,42780.57
23/04/2016,Truck,48095,1,0.56,28,44753.57
24/04/2016,Crossover,35980,0,0.19,24,21959.35
25/04/2016,SUV,43848,0,0.27,66,33074.59
26/04/2016,Convertible,62528,1,0.47,41,52788.76
27/04/2016,Hatchback,28507,0,0.69,42,28435.91
28/04/2016,Convertible,68602,0,0.47,83,48887.94
29/04/2016,Van,27845,0,0.43,64,22738.87
30/04/2016,Coupe,58600,0,0.58,23,50534.84
01/05/2016,SUV,37869,1,0.57,60,37442.0
02/05/2016,Sedan,30999,1,0.63,49,22840.84
03/05/2016,Wagon,50228,0,0.34,55,41657.73
04/05/2016,Pickup,58583,0,0.57,45,40205.41
05/05/2016,Van,47048,1,0.42,60,37435.82
06/05/2016,Wagon,51013,0,0.27,40,30790.15
07/05/2016,Pickup,61607,0,0.2,32,42657.63
08/05/2016,Hatchback,15912,1,0.59,84,13434.74
09/05/2016,Truck,52014,0,0.18,59,32262.74
10/05/2016,Pickup,41192,0,0.17,82,28919.77
11/05/2016,SUV,44372,1,0.67,27,35945.91
12/05/2016,Coupe,71380,0,0.59,56,49089.96
13/05/2016,Pickup,57290,1,0.05,14,48399.66
14/05/2016,Hatchback,33936,0,0.22,32,23741.58
